cod_ecor,C10,C13,C16,C20,C23,C30,C40,C50,area_km2,ecoregion
0,17715.2896,18153.4224,30173.7644,38428.5919,50094.9027,52791.8140,52904.0677,53794.6513,68925.6755,Bosques patagonicos
1,3218.2460,3327.4723,5140.8620,47412.3574,52154.0066,54452.7154,54452.7154,71875.4617,565089.7188,Estepa patagonica
2,2706.3734,2706.3734,7252.8505,19693.9969,50254.2103,55846.0692,55908.0101,63930.1474,346051.7099,Monte de llanuras y mesetas
3,12821.9695,14119.4183,14175.2832,32607.1410,33383.0521,43277.2373,43375.8436,54506.8355,139693.3744,Altos Andes
4,4790.0778,4793.2873,7553.5420,15307.7880,24337.3305,27562.3618,28127.2319,29662.5674,113676.0639,Monte de Sierras y Bolsones
5,6740.8189,6740.8189,54395.4231,75487.7551,222027.8281,231086.1303,231395.3640,237091.3614,427101.1354,Chaco seco
6,3117.8103,3128.8748,3128.8748,15595.3095,15836.9625,17432.9492,17826.5517,26374.7973,69150.5252,Puna
7,3830.1789,3830.1789,14833.6863,15966.8874,45084.3604,45635.1637,45649.9057,48244.8577,75073.7309,Selva de Yungas
8,841.2360,841.2360,3681.9440,17788.1735,25389.0679,26073.8289,26456.9444,43927.1260,442336.8308,Pampa
9,179.1733,179.1733,8347.2655,11528.2510,54050.4341,55557.1598,55670.5251,56195.0130,244165.0779,Espinal
10,297.4575,297.4575,2523.9873,10125.7872,10460.1839,11686.1520,11724.6811,18720.0947,35248.3823,Delta e islas del Parana
11,333.3588,333.3588,477.6987,822.9758,1221.0172,1306.6267,1374.6023,1383.9690,27495.6404,Campos y Malezales
12,1794.3454,1794.3454,1946.3623,11325.2446,13187.5111,13278.2592,13290.9664,13291.4060,39153.1579,Esteros del Ibera
13,768.4059,768.4059,6448.0596,7154.2804,26130.1573,26540.0241,26796.9881,30628.4497,160173.7747,Chaco humedo
14,1977.9111,1977.9111,2532.1846,2572.5487,12087.6791,12127.4277,12489.4217,12512.3245,27062.5598,Selva Paranaense
