cod_prov,province,area_km2,C10,C13,C16,C20,C23,C30,C40,C50
BA,Buenos Aires,306061.8917,672.5206,672.5206,1208.1160,10150.6187,16754.2047,16932.7504,16943.5289,28620.1080
CABA,CABA,205.6187,3.8821,3.8821,3.8821,3.8821,3.8821,3.8969,3.8969,4.7396
CD,Córdoba,164670.2344,3319.6500,3319.6500,26186.2077,37874.5251,43064.0024,46141.4410,46181.8175,56725.0702
CH,Chaco,99776.6103,2273.8533,2273.8533,4527.1179,4535.8045,35485.7222,35900.6148,35925.4458,39837.1346
CM,Catamarca,101490.0979,0.0907,63.0606,5696.9874,13116.4503,27020.7838,27021.9640,27024.3936,35849.8657
CS,Corrientes,89125.4827,2098.2979,2098.2979,2735.4352,13706.7025,16461.8922,17795.2127,17852.6059,17932.4095
CU,Chubut,224378.9915,3020.0266,3089.1646,6985.2846,15473.1721,21631.2691,21904.0809,21904.0809,39169.6012
ER,Entre Ríos,78389.1970,109.0262,109.0262,8579.5822,20323.1539,26342.3589,26715.2548,26863.5912,27898.7212
FS,Formosa,75478.1758,599.0938,599.0938,4829.2779,8628.6537,12955.8286,12956.5016,12974.5640,14386.0305
JJ,Jujuy,53240.4738,999.2761,1007.9650,2803.3157,9027.3635,15459.7127,15476.5044,15477.6428,27276.9762
LP,La Pampa,143210.8659,605.6638,605.6638,1725.9953,2528.2238,30427.2257,30431.2012,30431.2012,30433.2299
LR,La Rioja,91413.9355,7327.3641,7368.6418,10409.6622,10409.6622,17235.1342,19141.9242,19141.9272,19308.1879
MS,Misiones,29908.3105,2007.3174,2007.3174,2571.2581,2615.6621,12362.0697,12401.8835,12787.1705,12810.0732
MZ,Mendoza,149088.8402,9546.7038,10096.1898,10913.5365,18697.4958,36434.1689,39942.6624,40545.0003,43369.4500
NQ,Neuquén,94366.9501,6064.7461,6103.3854,7931.4443,13129.8886,16481.2688,16496.7531,16497.1733,16631.4641
RN,Río Negro,202229.6253,1829.7353,1839.3099,4471.2333,40034.2674,42293.9679,47053.5434,47053.5434,49972.7525
SC,Santa Cruz,244395.8997,8332.7470,8749.6770,10706.9841,17754.0567,18424.2469,19287.1160,19287.1389,19489.0766
SE,Santiago del Estero,136989.6551,1258.3712,1258.3712,9871.5983,15426.8399,76822.7729,76825.2279,77003.2014,77225.9667
SF,Santa Fe,133296.2383,201.3750,201.3750,4236.8915,7135.4228,20928.8026,21074.8959,21367.3508,26949.5629
SJ,San Juan,88371.2014,3175.4693,3795.2867,4046.0519,11357.5369,20813.2809,31056.4657,31531.6126,32739.8040
SL,San Luis,75563.6280,760.6132,760.6132,5892.3918,6438.4687,25986.7160,33648.9039,33948.4740,35407.6002
ST,Salta,155369.1060,3434.3527,3460.4350,15053.4139,31621.9740,84451.4132,84466.1102,84606.9912,87445.7015
TC,Tucumán,22598.5442,2120.7884,2124.4774,6321.2931,6325.3595,8387.5341,10150.9447,10151.5812,10151.5812
TF,Tierra del Fuego,20698.2598,1370.8995,1383.6779,4903.4313,5533.3002,9499.2911,11861.3082,11973.1188,12535.7118
ARG,Argentina (continental),2780317.8338,61131.8640,62990.9356,162610.3923,321848.4849,635727.5496,674687.1617,677477.0522,762170.8194
