cod_prov,cod_ecor,province,ecoregion,area_province_km2,area_ecoregion_km2,area_prov_ecor_km2,C10,C13,C16,C20,C23,C30,C40,C50
BA,2,Buenos Aires,Monte de llanuras y mesetas,,346050.6258,119.3579,0.0000,0.0000,1.3804,1.3804,104.7273,104.7273,104.7273,104.7273
BA,8,Buenos Aires,Pampa,,442335.7345,269733.3691,522.8612,522.8612,562.9452,8018.9315,8333.5363,8502.5244,8508.3155,19276.0873
BA,9,Buenos Aires,Espinal,,244165.5794,32187.8008,97.2341,97.2341,451.6145,1838.9753,8010.5192,8010.5581,8014.9525,8047.8368
BA,10,Buenos Aires,Delta e islas del Parana,,35250.0736,4022.3336,53.2419,53.2419,192.9927,292.1483,306.2386,315.9102,316.5031,1192.4262
CABA,8,CABA,Pampa,205.6187,442335.7345,192.7511,0.4951,0.4951,0.4951,0.4951,0.4951,0.5098,0.5098,0.6476
CABA,10,CABA,Delta e islas del Parana,205.6187,35250.0736,12.8675,3.3870,3.3870,3.3870,3.3870,3.3870,3.3870,3.3870,4.0920
CD,5,Córdoba,Chaco seco,,427101.0795,68263.3641,3319.6500,3319.6500,24852.9266,36476.1228,41611.6503,43999.4138,43999.4138,48655.7836
CD,8,Córdoba,Pampa,,442335.7345,48360.1307,0.0000,0.0000,961.9547,961.9547,961.9547,1039.4636,1079.8401,6943.7138
CD,9,Córdoba,Espinal,,244165.5794,48046.7514,0.0000,0.0000,371.3269,436.4481,490.3978,1102.5637,1102.5637,1125.5727
CH,5,Chaco,Chaco seco,,427101.0795,39703.3208,1870.5403,1870.5403,4094.0552,4101.8575,30874.7588,30879.9799,30880.3582,30883.3760
CH,10,Chaco,Delta e islas del Parana,,35250.0736,1848.2063,164.6082,164.6082,165.4669,166.3511,335.8414,335.8414,336.0364,1729.8758
CH,13,Chaco,Chaco humedo,,160173.7747,58225.0828,238.7049,238.7049,267.5958,267.5958,4275.1220,4684.7935,4709.0512,7223.8830
CM,3,Catamarca,Altos Andes,,139697.5067,32376.5126,0.0907,63.0606,98.9810,3937.0532,3937.0532,3938.2333,3938.2333,9707.2896
CM,4,Catamarca,Monte de Sierras y Bolsones,,113676.0698,26412.7876,0.0000,0.0000,1845.8592,1904.5350,6417.7786,6417.7786,6417.7786,6723.1476
CM,5,Catamarca,Chaco seco,,427101.0795,15487.7637,0.0000,0.0000,1586.6325,1586.6378,8127.7342,8127.7342,8130.1632,8130.3074
CM,6,Catamarca,Puna,,69150.5082,16491.5933,0.0000,0.0000,0.0000,3362.1179,3362.1179,3362.1179,3362.1179,6114.4278
CM,7,Catamarca,Selva de Yungas,,75073.7879,10721.4455,0.0000,0.0000,2165.5152,2324.9640,5174.9573,5174.9579,5174.9579,5174.9579
CS,9,Corrientes,Espinal,,244165.5794,21983.5516,0.0000,0.0000,212.3779,1186.1651,1908.2289,1923.1667,1923.1700,1923.1700
CS,10,Corrientes,Delta e islas del Parana,,35250.0736,3341.9671,0.0000,0.0000,138.0698,415.4303,419.5255,1561.6158,1561.6158,1631.6131
CS,11,Corrientes,Campos y Malezales,,27495.6404,24646.9728,303.9525,303.9525,438.6252,779.8625,946.6267,1032.1709,1076.8536,1086.2203
CS,12,Corrientes,Esteros del Ibera,,39153.1579,39153.1579,1794.3454,1794.3454,1946.3623,11325.2446,13187.5111,13278.2592,13290.9664,13291.4060
CU,0,Chubut,Bosques patagonicos,,68925.6755,14559.8430,2967.9522,3036.8200,6329.0082,7890.5294,12527.2111,12550.6944,12550.6944,12917.0981
CU,1,Chubut,Estepa patagonica,,565089.7022,192282.1452,52.0743,52.3446,656.2764,7582.6428,9104.0732,9353.4017,9353.4017,25856.2063
CU,2,Chubut,Monte de llanuras y mesetas,,346050.6258,17539.2904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,396.3155
ER,8,Entre Ríos,Pampa,,442335.7345,33932.9636,82.2914,82.2914,1691.9671,5540.5849,6605.9118,6972.4454,7116.7759,7128.1065
ER,9,Entre Ríos,Espinal,,244165.5794,32384.5341,0.0000,0.0000,6469.9486,7213.5440,12136.4289,12142.7912,12146.7971,12147.9810
ER,10,Entre Ríos,Delta e islas del Parana,,35250.0736,12121.6142,26.7348,26.7348,417.6664,7569.0996,7600.0927,7600.0927,7600.0927,8622.7083
FS,5,Formosa,Chaco seco,,427101.0795,43071.5460,90.6871,90.6871,1264.9652,5029.7380,8843.6694,8843.6694,8843.6694,9627.4203
