cod_ecor,ecoregion,area_km2,C10,C13,C16,C20,C23,C30,C40,C50
0,Bosques patagonicos,68925.6755,25.7020,26.3377,43.7772,55.7537,72.6796,76.5924,76.7552,78.0473
1,Estepa patagonica,565089.7188,0.5695,0.5888,0.9097,8.3902,9.2293,9.6361,9.6361,12.7193
2,Monte de llanuras y mesetas,346051.7099,0.7821,0.7821,2.0959,5.6911,14.5222,16.1381,16.1560,18.4742
3,Altos Andes,139693.3744,9.1787,10.1074,10.1474,23.3419,23.8974,30.9802,31.0508,39.0189
4,Monte de Sierras y Bolsones,113676.0639,4.2138,4.2166,6.6448,13.4661,21.4094,24.2464,24.7433,26.0939
5,Chaco seco,427101.1354,1.5783,1.5783,12.7360,17.6744,51.9848,54.1057,54.1781,55.5118
6,Puna,69150.5252,4.5087,4.5247,4.5247,22.5527,22.9022,25.2101,25.7793,38.1411
7,Selva de Yungas,75073.7309,5.1019,5.1019,19.7588,21.2683,60.0534,60.7871,60.8068,64.2633
8,Pampa,442336.8308,0.1902,0.1902,0.8324,4.0214,5.7398,5.8946,5.9812,9.9307
9,Espinal,244165.0779,0.0734,0.0734,3.4187,4.7215,22.1368,22.7539,22.8004,23.0152
10,Delta e islas del Parana,35248.3823,0.8439,0.8439,7.1606,28.7270,29.6756,33.1537,33.2630,53.1091
11,Campos y Malezales,27495.6404,1.2124,1.2124,1.7374,2.9931,4.4408,4.7521,4.9993,5.0334
12,Esteros del Ibera,39153.1579,4.5829,4.5829,4.9712,28.9255,33.6819,33.9136,33.9461,33.9472
13,Chaco humedo,160173.7747,0.4797,0.4797,4.0257,4.4666,16.3136,16.5695,16.7299,19.1220
14,Selva Paranaense,27062.5598,7.3087,7.3087,9.3568,9.5059,44.6657,44.8126,46.1502,46.2348
