cod_prov,province,area_km2,C10,C13,C16,C20,C23,C30,C40,C50
BA,Buenos Aires,306061.8917,0.2197,0.2197,0.3947,3.3165,5.4741,5.5325,5.5360,9.3511
CABA,CABA,205.6187,1.8880,1.8880,1.8880,1.8880,1.8880,1.8952,1.8952,2.3050
CD,Córdoba,164670.2344,2.0159,2.0159,15.9022,23.0002,26.1517,28.0205,28.0450,34.4477
CH,Chaco,99776.6103,2.2789,2.2789,4.5373,4.5460,35.5652,35.9810,36.0059,39.9263
CM,Catamarca,101490.0979,0.0001,0.0621,5.6133,12.9239,26.6241,26.6252,26.6276,35.3235
CS,Corrientes,89125.4827,2.3543,2.3543,3.0692,15.3791,18.4705,19.9665,20.0309,20.1204
CU,Chubut,224378.9915,1.3459,1.3768,3.1132,6.8960,9.6405,9.7621,9.7621,17.4569
ER,Entre Ríos,78389.1970,0.1391,0.1391,10.9449,25.9260,33.6046,34.0803,34.2695,35.5900
FS,Formosa,75478.1758,0.7937,0.7937,6.3982,11.4320,17.1650,17.1659,17.1898,19.0599
JJ,Jujuy,53240.4738,1.8769,1.8932,5.2654,16.9558,29.0375,29.0691,29.0712,51.2335
LP,La Pampa,143210.8659,0.4229,0.4229,1.2052,1.7654,21.2465,21.2492,21.2492,21.2506
LR,La Rioja,91413.9355,8.0156,8.0607,11.3874,11.3874,18.8539,20.9398,20.9398,21.1217
MS,Misiones,29908.3105,6.7116,6.7116,8.5971,8.7456,41.3332,41.4663,42.7546,42.8311
MZ,Mendoza,149088.8402,6.4034,6.7719,7.3202,12.5412,24.4379,26.7912,27.1952,29.0897
NQ,Neuquén,94366.9501,6.4268,6.4677,8.4049,13.9137,17.4651,17.4815,17.4819,17.6242
RN,Río Negro,202229.6253,0.9048,0.9095,2.2110,19.7964,20.9138,23.2674,23.2674,24.7109
SC,Santa Cruz,244395.8997,3.4095,3.5801,4.3810,7.2645,7.5387,7.8918,7.8918,7.9744
SE,Santiago del Estero,136989.6551,0.9186,0.9186,7.2061,11.2613,56.0793,56.0810,56.2110,56.3736
SF,Santa Fe,133296.2383,0.1511,0.1511,3.1786,5.3531,15.7010,15.8106,16.0300,20.2178
SJ,San Juan,88371.2014,3.5933,4.2947,4.5785,12.8521,23.5521,35.1432,35.6809,37.0480
SL,San Luis,75563.6280,1.0066,1.0066,7.7979,8.5206,34.3905,44.5306,44.9270,46.8580
ST,Salta,155369.1060,2.2104,2.2272,9.6888,20.3528,54.3553,54.3648,54.4555,56.2826
TC,Tucumán,22598.5442,9.3846,9.4009,27.9721,27.9901,37.1154,44.9186,44.9214,44.9214
TF,Tierra del Fuego,20698.2598,6.6233,6.6850,23.6901,26.7332,45.8942,57.3058,57.8460,60.5641
ARG,Argentina (continental),2780317.8338,2.1987,2.2656,5.8486,11.5760,22.8653,24.2665,24.3669,27.4131
