cod_prov,cod_ecor,province,ecoregion,area_province_km2,area_ecoregion_km2,area_prov_ecor_km2,C10,C13,C16,C20,C23,C30,C40,C50
BA,2,Buenos Aires,Monte de llanuras y mesetas,,346050.6258,119.3579,0.0000,0.0000,1.1565,1.1565,87.7423,87.7423,87.7423,87.7423
BA,8,Buenos Aires,Pampa,,442335.7345,269733.3691,0.1938,0.1938,0.2087,2.9729,3.0895,3.1522,3.1543,7.1463
BA,9,Buenos Aires,Espinal,,244165.5794,32187.8008,0.3021,0.3021,1.4031,5.7133,24.8868,24.8869,24.9006,25.0028
BA,10,Buenos Aires,Delta e islas del Parana,,35250.0736,4022.3336,1.3237,1.3237,4.7980,7.2632,7.6135,7.8539,7.8686,29.6451
CABA,8,CABA,Pampa,205.6187,442335.7345,192.7511,0.2568,0.2568,0.2568,0.2568,0.2568,0.2645,0.2645,0.3360
CABA,10,CABA,Delta e islas del Parana,205.6187,35250.0736,12.8675,26.3222,26.3222,26.3222,26.3222,26.3222,26.3222,26.3222,31.8007
CD,5,Córdoba,Chaco seco,,427101.0795,68263.3641,4.8630,4.8630,36.4074,53.4344,60.9575,64.4554,64.4554,71.2766
CD,8,Córdoba,Pampa,,442335.7345,48360.1307,0.0000,0.0000,1.9891,1.9891,1.9891,2.1494,2.2329,14.3583
CD,9,Córdoba,Espinal,,244165.5794,48046.7514,0.0000,0.0000,0.7728,0.9084,1.0207,2.2948,2.2948,2.3427
CH,5,Chaco,Chaco seco,,427101.0795,39703.3208,4.7113,4.7113,10.3116,10.3313,77.7637,77.7768,77.7778,77.7854
CH,10,Chaco,Delta e islas del Parana,,35250.0736,1848.2063,8.9064,8.9064,8.9528,9.0007,18.1712,18.1712,18.1818,93.5976
CH,13,Chaco,Chaco humedo,,160173.7747,58225.0828,0.4100,0.4100,0.4596,0.4596,7.3424,8.0460,8.0877,12.4068
CM,3,Catamarca,Altos Andes,,139697.5067,32376.5126,0.0003,0.1948,0.3057,12.1602,12.1602,12.1639,12.1639,29.9825
CM,4,Catamarca,Monte de Sierras y Bolsones,,113676.0698,26412.7876,0.0000,0.0000,6.9885,7.2107,24.2980,24.2980,24.2980,25.4541
CM,5,Catamarca,Chaco seco,,427101.0795,15487.7637,0.0000,0.0000,10.2444,10.2445,52.4784,52.4784,52.4941,52.4950
CM,6,Catamarca,Puna,,69150.5082,16491.5933,0.0000,0.0000,0.0000,20.3869,20.3869,20.3869,20.3869,37.0760
CM,7,Catamarca,Selva de Yungas,,75073.7879,10721.4455,0.0000,0.0000,20.1980,21.6852,48.2673,48.2674,48.2674,48.2674
CS,9,Corrientes,Espinal,,244165.5794,21983.5516,0.0000,0.0000,0.9661,5.3957,8.6803,8.7482,8.7482,8.7482
CS,10,Corrientes,Delta e islas del Parana,,35250.0736,3341.9671,0.0000,0.0000,4.1314,12.4307,12.5532,46.7274,46.7274,48.8219
CS,11,Corrientes,Campos y Malezales,,27495.6404,24646.9728,1.2332,1.2332,1.7796,3.1641,3.8407,4.1878,4.3691,4.4071
CS,12,Corrientes,Esteros del Ibera,,39153.1579,39153.1579,4.5829,4.5829,4.9712,28.9255,33.6819,33.9136,33.9461,33.9472
CU,0,Chubut,Bosques patagonicos,,68925.6755,14559.8430,20.3845,20.8575,43.4689,54.1938,86.0395,86.2008,86.2008,88.7173
CU,1,Chubut,Estepa patagonica,,565089.7022,192282.1452,0.0271,0.0272,0.3413,3.9435,4.7347,4.8644,4.8644,13.4470
CU,2,Chubut,Monte de llanuras y mesetas,,346050.6258,17539.2904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2596
ER,8,Entre Ríos,Pampa,,442335.7345,33932.9636,0.2425,0.2425,4.9862,16.3280,19.4675,20.5477,20.9730,21.0064
ER,9,Entre Ríos,Espinal,,244165.5794,32384.5341,0.0000,0.0000,19.9785,22.2747,37.4760,37.4956,37.5080,37.5117
ER,10,Entre Ríos,Delta e islas del Parana,,35250.0736,12121.6142,0.2206,0.2206,3.4456,62.4430,62.6987,62.6987,62.6987,71.1350
FS,5,Formosa,Chaco seco,,427101.0795,43071.5460,0.2105,0.2105,2.9369,11.6776,20.5325,20.5325,20.5325,22.3522
FS,10,Formosa,Delta e islas del Parana,,35250.0736,1148.9891,0.0000,0.0000,65.9946,66.3080,66.5046,66.5632,66.5632,77.8644
FS,13,Formosa,Chaco humedo,,160173.7747,31257.6412,1.6265,1.6265,8.9771,9.0763,10.7111,10.7111,10.7689,12.3616
JJ,3,Jujuy,Altos Andes,,139697.5067,18030.9415,0.0037,0.0517,0.0517,25.4855,25.6179,25.6179,25.6179,49.5168
JJ,4,Jujuy,Monte de Sierras y Bolsones,,113676.0698,1039.4732,0.0000,0.0044,0.0044,0.0044,0.7885,0.7885,0.7885,100.0000
JJ,5,Jujuy,Chaco seco,,427101.0795,3537.4748,0.0000,0.0000,15.0274,15.0274,39.6957,39.6957,39.6957,40.5438
JJ,6,Jujuy,Puna,,69150.5082,19628.2560,1.0661,1.0661,1.0661,6.7099,7.1262,7.2101,7.2101,36.7098
JJ,7,Jujuy,Selva de Yungas,,75073.7879,11004.3450,7.1731,7.1731,18.6573,23.4770,72.9662,72.9692,72.9796,78.7826
LP,2,La Pampa,Monte de llanuras y mesetas,,346050.6258,53347.3019,0.7849,0.7849,2.8717,4.3547,4.7790,4.7790,4.7790,4.7790
LP,8,La Pampa,Pampa,,442335.7345,37873.2420,0.2772,0.2772,0.2860,0.2905,8.9659,8.9704,8.9704,8.9757
LP,9,La Pampa,Espinal,,244165.5794,51990.3231,0.1576,0.1576,0.1649,0.1829,47.0897,47.0941,47.0941,47.0941
LR,2,La Rioja,Monte de llanuras y mesetas,,346050.6258,172.0492,0.0000,0.0000,0.0000,0.0000,5.3583,5.3583,5.3583,5.3583
LR,3,La Rioja,Altos Andes,,139697.5067,5170.3104,56.5166,57.2539,57.2539,57.2539,57.2539,57.2564,57.2564,60.4256
LR,4,La Rioja,Monte de Sierras y Bolsones,,113676.0698,38161.5653,7.8089,7.8164,9.4051,9.4051,9.9286,13.1929,13.1929,13.1929
LR,5,La Rioja,Chaco seco,,427101.0795,44002.2082,0.4506,0.4506,5.9838,5.9838,21.0205,22.5215,22.5215,22.5222
LR,6,La Rioja,Puna,,69150.5082,3907.7338,31.3989,31.4064,31.4064,31.4064,31.4064,31.4201,31.4201,31.4739
MS,11,Misiones,Campos y Malezales,,27495.6404,2848.6676,1.0323,1.0323,1.3716,1.5135,9.6322,9.6345,10.4522,10.4522
MS,14,Misiones,Selva Paranaense,,27062.5598,27062.5598,7.3087,7.3087,9.3568,9.5059,44.6657,44.8126,46.1502,46.2348
MZ,1,Mendoza,Estepa patagonica,,565089.7022,18036.0997,2.2337,2.2353,2.2353,8.0771,8.0771,14.7690,14.7690,14.9693
MZ,2,Mendoza,Monte de llanuras y mesetas,,346050.6258,96413.1061,1.4872,1.4872,2.3348,6.3911,24.7871,24.9491,24.9703,27.8243
MZ,3,Mendoza,Altos Andes,,139697.5067,30922.5574,24.4448,26.2208,26.2208,35.3388,35.3388,40.0500,40.1152,40.1221
MZ,4,Mendoza,Monte de Sierras y Bolsones,,113676.0698,3714.9894,4.0639,4.0639,4.0639,4.0639,4.0639,22.5994,37.7216,38.6511
MZ,9,Mendoza,Espinal,,244165.5794,2.0878,0.0000,0.0000,8.4592,8.4592,29.4170,29.4170,29.4170,29.4170
NQ,0,Neuquén,Bosques patagonicos,,68925.6755,16911.0933,32.4293,32.4439,41.3243,60.3742,69.6855,69.6856,69.6881,69.9836
NQ,1,Neuquén,Estepa patagonica,,565089.7022,47392.8087,1.0405,1.1168,1.8052,4.3920,8.1410,8.1598,8.1598,8.3107
NQ,2,Neuquén,Monte de llanuras y mesetas,,346050.6258,30065.1142,0.2911,0.2911,0.2911,2.7888,2.7888,2.8106,2.8106,2.8532
RN,0,Río Negro,Bosques patagonicos,,68925.6755,6229.7897,29.2412,29.3949,66.7807,72.3730,90.8665,93.7675,93.7675,99.9208
RN,1,Río Negro,Estepa patagonica,,565089.7022,73499.0922,0.0110,0.0110,0.4230,39.2153,40.7223,40.8601,40.8601,41.0487
RN,2,Río Negro,Monte de llanuras y mesetas,,346050.6258,116771.5993,0.0000,0.0000,0.0000,5.7137,5.7137,9.5447,9.5447,11.5976
RN,9,Río Negro,Espinal,,244165.5794,5728.7198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0101,0.0101
SC,0,Santa Cruz,Bosques patagonicos,,68925.6755,15075.3308,41.0954,43.3802,52.6586,69.1988,71.8632,72.7341,72.7342,72.7342
SC,1,Santa Cruz,Estepa patagonica,,565089.7022,229330.9319,0.9320,0.9637,1.2075,3.1931,3.3113,3.6303,3.6303,3.7184
SE,5,Santiago del Estero,Chaco seco,,427101.0795,119834.8169,1.0501,1.0501,7.8377,11.9106,60.8875,60.8895,61.0380,61.2232
