Ecoregion,Area (km²),C10,C13,C16,C20,C23,C30,C40,C50
Patagonian Forests,68926,25.7,26.34,43.78,55.75,72.68,76.59,76.76,78.05
Yungas Forest,75074,5.1,5.1,19.76,21.27,60.05,60.79,60.81,64.26
Dry Chaco,427101,1.58,1.58,12.74,17.67,51.98,54.11,54.18,55.51
Paraná Delta and Islands,35248,0.84,0.84,7.16,28.73,29.68,33.15,33.26,53.11
Paranaense Forest,27063,7.31,7.31,9.36,9.51,44.67,44.81,46.15,46.23
High Andes,139693,9.18,10.11,10.15,23.34,23.9,30.98,31.05,39.02
Puna,69151,4.51,4.52,4.52,22.55,22.9,25.21,25.78,38.14
Iberá Wetlands,39153,4.58,4.58,4.97,28.93,33.68,33.91,33.95,33.95
Monte of Sierras and Basins,113676,4.21,4.22,6.64,13.47,21.41,24.25,24.74,26.09
Espinal,244165,0.07,0.07,3.42,4.72,22.14,22.75,22.8,23.02
Humid Chaco,160174,0.48,0.48,4.03,4.47,16.31,16.57,16.73,19.12
Monte of Plains and Plateaus,346052,0.78,0.78,2.1,5.69,14.52,16.14,16.16,18.47
Patagonian Steppe,565090,0.57,0.59,0.91,8.39,9.23,9.64,9.64,12.72
Pampas,442337,0.19,0.19,0.83,4.02,5.74,5.89,5.98,9.93
Campos and Malezales,27496,1.21,1.21,1.74,2.99,4.44,4.75,5.0,5.03
