Provincia,Superficie (km²),C10,C13,C16,C20,C23,C30,C40,C50
Tierra del Fuego,20698,6.62,6.68,23.69,26.73,45.89,57.31,57.85,60.56
Santiago del Estero,136990,0.92,0.92,7.21,11.26,56.08,56.08,56.21,56.37
Salta,155369,2.21,2.23,9.69,20.35,54.36,54.36,54.46,56.28
Jujuy,53240,1.88,1.89,5.27,16.96,29.04,29.07,29.07,51.23
San Luis,75564,1.01,1.01,7.8,8.52,34.39,44.53,44.93,46.86
Tucumán,22599,9.38,9.4,27.97,27.99,37.12,44.92,44.92,44.92
Misiones,29908,6.71,6.71,8.6,8.75,41.33,41.47,42.75,42.83
Chaco,99777,2.28,2.28,4.54,4.55,35.57,35.98,36.01,39.93
San Juan,88371,3.59,4.29,4.58,12.85,23.55,35.14,35.68,37.05
Entre Ríos,78389,0.14,0.14,10.94,25.93,33.6,34.08,34.27,35.59
Catamarca,101490,0.0,0.06,5.61,12.92,26.62,26.63,26.63,35.32
Córdoba,164670,2.02,2.02,15.9,23.0,26.15,28.02,28.04,34.45
Mendoza,149089,6.4,6.77,7.32,12.54,24.44,26.79,27.2,29.09
Río Negro,202230,0.9,0.91,2.21,19.8,20.91,23.27,23.27,24.71
La Pampa,143211,0.42,0.42,1.21,1.77,21.25,21.25,21.25,21.25
La Rioja,91414,8.02,8.06,11.39,11.39,18.85,20.94,20.94,21.12
Santa Fe,133296,0.15,0.15,3.18,5.35,15.7,15.81,16.03,20.22
Corrientes,89125,2.35,2.35,3.07,15.38,18.47,19.97,20.03,20.12
Formosa,75478,0.79,0.79,6.4,11.43,17.16,17.17,17.19,19.06
Neuquén,94367,6.43,6.47,8.4,13.91,17.47,17.48,17.48,17.62
Chubut,224379,1.35,1.38,3.11,6.9,9.64,9.76,9.76,17.46
Buenos Aires,306062,0.22,0.22,0.39,3.32,5.47,5.53,5.54,9.35
Santa Cruz,244396,3.41,3.58,4.38,7.26,7.54,7.89,7.89,7.97
CABA,206,1.89,1.89,1.89,1.89,1.89,1.9,1.9,2.31
Argentina (total),2780318,2.2,2.27,5.85,11.58,22.87,24.27,24.37,27.41
